airline,post_count,total_impressions,total_engagement,avg_sentiment,unique_authors,positive_rate,negative_rate
American Airlines,1813,10192919,103850,-2.4875896304467733,1548,0.12079426365140651,0.6183121897407612
British Airways,1100,1380819,21983,-1.8590909090909091,988,0.13545454545454547,0.5072727272727273
Lufthansa,847,1063679,13490,0.04132231404958678,637,0.29515938606847697,0.28689492325855964
Air France,846,11088080,181695,0.10638297872340426,724,0.2635933806146572,0.24231678486997635
Other,565,467233,2687,-0.5752212389380531,524,0.19469026548672566,0.30973451327433627
Air Canada,360,582223,21782,-1.1944444444444444,318,0.21666666666666667,0.45555555555555555
Delta Air Lines,160,118568,465,0.96875,130,0.4125,0.21875
United Airlines,54,24516,275,-0.2777777777777778,50,0.2962962962962963,0.35185185185185186
Emirates,34,114641,565,0.4411764705882353,32,0.38235294117647056,0.29411764705882354
Singapore Airlines,8,2609,28,1.25,8,0.25,0.0
Qatar Airways,4,1032,14,0.0,4,0.25,0.25
ANA,2,0,0,2.5,2,0.5,0.0
JAL,1,24,2,-5.0,1,0.0,1.0
Korean Air,1,274,7,0.0,1,0.0,0.0
